yourlist:M20191118DA437993067D6F64326E5E763500BDED055040M	isomap:M20191118DA437993067D6F64326E5E763500BDED055040M	Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)	Gene names
NM_005222	NM_005222 -> P56179-3	P56179	DLX6_HUMAN	Homeobox protein DLX-6	GO:0000790; GO:0000978; GO:0000981; GO:0001501; GO:0003700; GO:0005634; GO:0006357; GO:0007399; GO:0030154; GO:0030326; GO:0030855; GO:0042472; GO:0043565; GO:0045944; GO:0048646; GO:0050679; GO:0060021; GO:0060322	nuclear chromatin [GO:0000790]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; anatomical structure formation involved in morphogenesis [GO:0048646]; cell differentiation [GO:0030154]; embryonic limb morphogenesis [GO:0030326]; epithelial cell differentiation [GO:0030855]; head development [GO:0060322]; inner ear morphogenesis [GO:0042472]; nervous system development [GO:0007399]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; roof of mouth development [GO:0060021]; skeletal system development [GO:0001501]	DLX6
NM_178568		Q86UN2	R4RL1_HUMAN	Reticulon-4 receptor-like 1 (Nogo receptor-like 2) (Nogo-66 receptor homolog 2) (Nogo-66 receptor-related protein 3) (NgR3)	GO:0005576; GO:0005615; GO:0005886; GO:0008201; GO:0009897; GO:0009986; GO:0010977; GO:0022038; GO:0031012; GO:0031103; GO:0035374; GO:0038023; GO:0042995; GO:0043204; GO:0045121; GO:0046658; GO:0048681; GO:0070062	anchored component of plasma membrane [GO:0046658]; cell projection [GO:0042995]; cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane raft [GO:0045121]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; chondroitin sulfate binding [GO:0035374]; heparin binding [GO:0008201]; signaling receptor activity [GO:0038023]; axon regeneration [GO:0031103]; corpus callosum development [GO:0022038]; negative regulation of axon regeneration [GO:0048681]; negative regulation of neuron projection development [GO:0010977]	RTN4RL1 NGRH2 NGRL2
NM_001024948	NM_001024948 -> Q5T0N5-4	Q5T0N5	FBP1L_HUMAN	Formin-binding protein 1-like (Transducer of Cdc42-dependent actin assembly protein 1) (Toca-1)	GO:0005623; GO:0005737; GO:0005829; GO:0005856; GO:0005886; GO:0005938; GO:0006900; GO:0006914; GO:0008289; GO:0010324; GO:0016050; GO:0030050; GO:0031410; GO:0045296; GO:0051020; GO:0051491; GO:0060271; GO:0061024; GO:0072583; GO:0097320	cell [GO:0005623]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; cadherin binding [GO:0045296]; GTPase binding [GO:0051020]; lipid binding [GO:0008289]; autophagy [GO:0006914]; cilium assembly [GO:0060271]; clathrin-dependent endocytosis [GO:0072583]; membrane invagination [GO:0010324]; membrane organization [GO:0061024]; plasma membrane tubulation [GO:0097320]; positive regulation of filopodium assembly [GO:0051491]; vesicle budding from membrane [GO:0006900]; vesicle organization [GO:0016050]; vesicle transport along actin filament [GO:0030050]	FNBP1L C1orf39 TOCA1
NM_173076		B3KVV3	B3KVV3_HUMAN	cDNA FLJ41584 fis, clone CTONG2020445, highly similar to ATP-binding cassette sub-family A member 12	GO:0005524; GO:0006869; GO:0016021; GO:0016887; GO:0042626	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; lipid transport [GO:0006869]	
NM_173076	NM_173076 -> Q86UK0-1	Q86UK0	ABCAC_HUMAN	ATP-binding cassette sub-family A member 12 (ATP-binding cassette transporter 12) (ATP-binding cassette 12)	GO:0005102; GO:0005319; GO:0005524; GO:0005623; GO:0005737; GO:0005829; GO:0005886; GO:0006869; GO:0010875; GO:0016021; GO:0016887; GO:0019725; GO:0031424; GO:0032940; GO:0033700; GO:0034040; GO:0034191; GO:0035627; GO:0042626; GO:0043129; GO:0043231; GO:0045055; GO:0048286; GO:0055085; GO:0055088; GO:0061436; GO:0072659; GO:0097209; GO:2000010	cell [GO:0005623]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; epidermal lamellar body [GO:0097209]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]; apolipoprotein A-I receptor binding [GO:0034191]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]; ATPase-coupled transmembrane transporter activity [GO:0042626]; lipid transporter activity [GO:0005319]; signaling receptor binding [GO:0005102]; cellular homeostasis [GO:0019725]; ceramide transport [GO:0035627]; establishment of skin barrier [GO:0061436]; keratinization [GO:0031424]; lipid homeostasis [GO:0055088]; lipid transport [GO:0006869]; lung alveolus development [GO:0048286]; phospholipid efflux [GO:0033700]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of protein localization to cell surface [GO:2000010]; protein localization to plasma membrane [GO:0072659]; regulated exocytosis [GO:0045055]; secretion by cell [GO:0032940]; surfactant homeostasis [GO:0043129]; transmembrane transport [GO:0055085]	ABCA12 ABC12
NM_001005404		Q96QA6	YPEL2_HUMAN	Protein yippee-like 2	GO:0005730; GO:0046872	nucleolus [GO:0005730]; metal ion binding [GO:0046872]	YPEL2 FKSG4
NM_001297	NM_001297 -> Q14028-1	Q14028	CNGB1_HUMAN	Cyclic nucleotide-gated cation channel beta-1 (Cyclic nucleotide-gated cation channel 4) (CNG channel 4) (CNG-4) (CNG4) (Cyclic nucleotide-gated cation channel gamma) (Cyclic nucleotide-gated cation channel modulatory subunit) (Cyclic nucleotide-gated channel beta-1) (CNG channel beta-1) (Glutamic acid-rich protein) (GARP)	GO:0000139; GO:0001750; GO:0001895; GO:0005222; GO:0005223; GO:0005623; GO:0005886; GO:0006812; GO:0007601; GO:0007608; GO:0015276; GO:0016056; GO:0017071; GO:0022400; GO:0030552; GO:0030553; GO:0030660; GO:0033365; GO:0035845; GO:0043195; GO:0045494; GO:0050908; GO:0051290; GO:0051480; GO:0060170; GO:1902495	cell [GO:0005623]; ciliary membrane [GO:0060170]; Golgi membrane [GO:0000139]; Golgi-associated vesicle membrane [GO:0030660]; intracellular cyclic nucleotide activated cation channel complex [GO:0017071]; photoreceptor outer segment [GO:0001750]; plasma membrane [GO:0005886]; terminal bouton [GO:0043195]; transmembrane transporter complex [GO:1902495]; cAMP binding [GO:0030552]; cGMP binding [GO:0030553]; intracellular cAMP-activated cation channel activity [GO:0005222]; intracellular cGMP-activated cation channel activity [GO:0005223]; ligand-gated ion channel activity [GO:0015276]; cation transport [GO:0006812]; detection of light stimulus involved in visual perception [GO:0050908]; photoreceptor cell maintenance [GO:0045494]; photoreceptor cell outer segment organization [GO:0035845]; protein heterotetramerization [GO:0051290]; protein localization to organelle [GO:0033365]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of rhodopsin mediated signaling pathway [GO:0022400]; retina homeostasis [GO:0001895]; rhodopsin mediated signaling pathway [GO:0016056]; sensory perception of smell [GO:0007608]; visual perception [GO:0007601]	CNGB1 CNCG2 CNCG3L CNCG4 RCNC2
NM_015393		Q6UWI2	PARM1_HUMAN	Prostate androgen-regulated mucin-like protein 1 (PARM-1)	GO:0000139; GO:0005654; GO:0005769; GO:0005770; GO:0005794; GO:0005829; GO:0005886; GO:0010008; GO:0016021; GO:0043231; GO:0051973	cytosol [GO:0005829]; early endosome [GO:0005769]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; positive regulation of telomerase activity [GO:0051973]	PARM1 UNQ1879/PRO4322
NM_003419		Q14585	ZN345_HUMAN	Zinc finger protein 345 (Zinc finger protein HZF10)	GO:0000122; GO:0003677; GO:0005634; GO:0006359; GO:0006366; GO:0006383; GO:0046872	nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription by RNA polymerase III [GO:0006359]; transcription by RNA polymerase II [GO:0006366]; transcription by RNA polymerase III [GO:0006383]	ZNF345
NM_020716	NM_020716 -> Q3KR37-1	Q3KR37	ASTRB_HUMAN	Protein Aster-B (GRAM domain-containing protein 1B)	GO:0001786; GO:0005789; GO:0005886; GO:0015485; GO:0016020; GO:0016021; GO:0042632; GO:0070300; GO:0071397; GO:0120020; GO:0140268	endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-plasma membrane contact site [GO:0140268]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; cholesterol binding [GO:0015485]; cholesterol transfer activity [GO:0120020]; phosphatidic acid binding [GO:0070300]; phosphatidylserine binding [GO:0001786]; cellular response to cholesterol [GO:0071397]; cholesterol homeostasis [GO:0042632]	GRAMD1B KIAA1201 UNQ3032/PRO9834
NM_001009984		Q0IIP3	Q0IIP3_HUMAN	C20orf194 protein			C20orf194
NM_001009984		Q5TEA3	CT194_HUMAN	Uncharacterized protein C20orf194			C20orf194
NM_181523		A0A2X0SFG1	A0A2X0SFG1_HUMAN	PIK3R1 (Fragment)	GO:0001678; GO:0001953; GO:0005623; GO:0005634; GO:0005801; GO:0005829; GO:0005911; GO:0006468; GO:0006606; GO:0008134; GO:0008286; GO:0008625; GO:0008630; GO:0030183; GO:0030335; GO:0032760; GO:0032991; GO:0034644; GO:0034976; GO:0036312; GO:0042307; GO:0043066; GO:0043560; GO:0045671; GO:0045944; GO:0046626; GO:0046982; GO:0051492; GO:1903076; GO:1990578	cell [GO:0005623]; cell-cell junction [GO:0005911]; cis-Golgi network [GO:0005801]; cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear endoplasmic reticulum membrane [GO:1990578]; protein-containing complex [GO:0032991]; insulin receptor substrate binding [GO:0043560]; phosphatidylinositol 3-kinase regulatory subunit binding [GO:0036312]; protein heterodimerization activity [GO:0046982]; transcription factor binding [GO:0008134]; B cell differentiation [GO:0030183]; cellular glucose homeostasis [GO:0001678]; cellular response to UV [GO:0034644]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; insulin receptor signaling pathway [GO:0008286]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of osteoclast differentiation [GO:0045671]; positive regulation of cell migration [GO:0030335]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; protein import into nucleus [GO:0006606]; protein phosphorylation [GO:0006468]; regulation of insulin receptor signaling pathway [GO:0046626]; regulation of protein localization to plasma membrane [GO:1903076]; regulation of stress fiber assembly [GO:0051492]; response to endoplasmic reticulum stress [GO:0034976]	PIK3R1
NM_181523	NM_181523 -> P27986-1	P27986	P85A_HUMAN	Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)	GO:0001678; GO:0001784; GO:0001953; GO:0005068; GO:0005158; GO:0005159; GO:0005168; GO:0005623; GO:0005634; GO:0005737; GO:0005801; GO:0005829; GO:0005886; GO:0005911; GO:0005942; GO:0005943; GO:0006468; GO:0006606; GO:0006661; GO:0007173; GO:0007186; GO:0007411; GO:0008134; GO:0008286; GO:0008625; GO:0008630; GO:0014065; GO:0014068; GO:0016020; GO:0016032; GO:0019221; GO:0019903; GO:0030168; GO:0030183; GO:0030335; GO:0031295; GO:0032760; GO:0032869; GO:0033120; GO:0034644; GO:0034976; GO:0035014; GO:0036312; GO:0038095; GO:0038096; GO:0038128; GO:0042307; GO:0043066; GO:0043125; GO:0043548; GO:0043551; GO:0043559; GO:0043560; GO:0045671; GO:0045944; GO:0046326; GO:0046626; GO:0046854; GO:0046935; GO:0046982; GO:0048009; GO:0048010; GO:0048015; GO:0050821; GO:0050852; GO:0050900; GO:0051492; GO:0051897; GO:0060396; GO:1900103; GO:1903078; GO:1990578	cell [GO:0005623]; cell-cell junction [GO:0005911]; cis-Golgi network [GO:0005801]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear endoplasmic reticulum membrane [GO:1990578]; phosphatidylinositol 3-kinase complex [GO:0005942]; phosphatidylinositol 3-kinase complex, class IA [GO:0005943]; plasma membrane [GO:0005886]; 1-phosphatidylinositol-3-kinase regulator activity [GO:0046935]; ErbB-3 class receptor binding [GO:0043125]; insulin binding [GO:0043559]; insulin receptor binding [GO:0005158]; insulin receptor substrate binding [GO:0043560]; insulin-like growth factor receptor binding [GO:0005159]; neurotrophin TRKA receptor binding [GO:0005168]; phosphatidylinositol 3-kinase binding [GO:0043548]; phosphatidylinositol 3-kinase regulator activity [GO:0035014]; phosphatidylinositol 3-kinase regulatory subunit binding [GO:0036312]; phosphotyrosine residue binding [GO:0001784]; protein heterodimerization activity [GO:0046982]; protein phosphatase binding [GO:0019903]; transcription factor binding [GO:0008134]; transmembrane receptor protein tyrosine kinase adaptor activity [GO:0005068]; axon guidance [GO:0007411]; B cell differentiation [GO:0030183]; cellular glucose homeostasis [GO:0001678]; cellular response to insulin stimulus [GO:0032869]; cellular response to UV [GO:0034644]; cytokine-mediated signaling pathway [GO:0019221]; epidermal growth factor receptor signaling pathway [GO:0007173]; ERBB2 signaling pathway [GO:0038128]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; Fc-epsilon receptor signaling pathway [GO:0038095]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; G protein-coupled receptor signaling pathway [GO:0007186]; growth hormone receptor signaling pathway [GO:0060396]; insulin receptor signaling pathway [GO:0008286]; insulin-like growth factor receptor signaling pathway [GO:0048009]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; leukocyte migration [GO:0050900]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of osteoclast differentiation [GO:0045671]; phosphatidylinositol 3-kinase signaling [GO:0014065]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol phosphorylation [GO:0046854]; phosphatidylinositol-mediated signaling [GO:0048015]; platelet activation [GO:0030168]; positive regulation of cell migration [GO:0030335]; positive regulation of endoplasmic reticulum unfolded protein response [GO:1900103]; positive regulation of glucose import [GO:0046326]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of RNA splicing [GO:0033120]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; protein import into nucleus [GO:0006606]; protein phosphorylation [GO:0006468]; protein stabilization [GO:0050821]; regulation of insulin receptor signaling pathway [GO:0046626]; regulation of phosphatidylinositol 3-kinase activity [GO:0043551]; regulation of stress fiber assembly [GO:0051492]; response to endoplasmic reticulum stress [GO:0034976]; T cell costimulation [GO:0031295]; T cell receptor signaling pathway [GO:0050852]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; viral process [GO:0016032]	PIK3R1 GRB1
NM_017644	NM_017644 -> Q6TFL4-1	Q6TFL4	KLH24_HUMAN	Kelch-like protein 24 (Kainate receptor-interacting protein for GluR6) (KRIP6) (Protein DRE1)	GO:0005737; GO:0005912; GO:0016567; GO:0030057; GO:0030424; GO:0031463; GO:0043204; GO:0045109; GO:0051865; GO:2000312	adherens junction [GO:0005912]; axon [GO:0030424]; Cul3-RING ubiquitin ligase complex [GO:0031463]; cytoplasm [GO:0005737]; desmosome [GO:0030057]; perikaryon [GO:0043204]; intermediate filament organization [GO:0045109]; protein autoubiquitination [GO:0051865]; protein ubiquitination [GO:0016567]; regulation of kainate selective glutamate receptor activity [GO:2000312]	KLHL24 DRE1
NM_001009565	NM_001009565 -> Q5MAI5-2	Q5MAI5	CDKL4_HUMAN	Cyclin-dependent kinase-like 4 (EC 2.7.11.22)	GO:0004693; GO:0005524; GO:0005634; GO:0005737; GO:0006468	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein phosphorylation [GO:0006468]	CDKL4
NM_001080475	NM_001080475 -> Q6ZWE6-1	Q6ZWE6	PKHM3_HUMAN	Pleckstrin homology domain-containing family M member 3 (PH domain-containing family M member 3) (Differentiation associated protein)	GO:0005737; GO:0005794; GO:0005886; GO:0045445; GO:0046872	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; myoblast differentiation [GO:0045445]	PLEKHM3 DAPR PLEKHM1L
NM_017794		B3KNV9	B3KNV9_HUMAN	cDNA FLJ30554 fis, clone BRAWH2003693			
NM_017794		Q5VW36	FOCAD_HUMAN	Focadhesin	GO:0005925; GO:0016021	focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]	FOCAD KIAA1797
NM_004316		P50553	ASCL1_HUMAN	Achaete-scute homolog 1 (ASH-1) (hASH1) (Class A basic helix-loop-helix protein 46) (bHLHa46)	GO:0000122; GO:0000790; GO:0000977; GO:0000978; GO:0000981; GO:0001227; GO:0001764; GO:0003358; GO:0003359; GO:0003682; GO:0003700; GO:0005634; GO:0006357; GO:0007219; GO:0007346; GO:0007400; GO:0007405; GO:0007423; GO:0007507; GO:0008134; GO:0010226; GO:0010468; GO:0014003; GO:0021527; GO:0021530; GO:0021750; GO:0021892; GO:0021902; GO:0021954; GO:0021987; GO:0022008; GO:0030182; GO:0030856; GO:0032526; GO:0042803; GO:0043025; GO:0043066; GO:0043425; GO:0043525; GO:0045665; GO:0045666; GO:0045747; GO:0045787; GO:0045892; GO:0045944; GO:0048469; GO:0048485; GO:0048663; GO:0048665; GO:0048666; GO:0050767; GO:0050883; GO:0051593; GO:0060163; GO:0060165; GO:0060166; GO:0060487; GO:0060579; GO:0061100; GO:0061102; GO:0061103; GO:0061104; GO:0061549; GO:0070849; GO:0070888; GO:0071259; GO:0090575; GO:2000179	neuronal cell body [GO:0043025]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]; RNA polymerase II transcription factor complex [GO:0090575]; bHLH transcription factor binding [GO:0043425]; chromatin binding [GO:0003682]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; E-box binding [GO:0070888]; protein homodimerization activity [GO:0042803]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription factor binding [GO:0008134]; adrenal chromaffin cell differentiation [GO:0061104]; carotid body glomus cell differentiation [GO:0061103]; cell maturation [GO:0048469]; cellular response to magnetism [GO:0071259]; central nervous system neuron development [GO:0021954]; cerebral cortex development [GO:0021987]; cerebral cortex GABAergic interneuron differentiation [GO:0021892]; commitment of neuronal cell to specific neuron type in forebrain [GO:0021902]; heart development [GO:0007507]; lung epithelial cell differentiation [GO:0060487]; lung neuroendocrine cell differentiation [GO:0061100]; musculoskeletal movement, spinal reflex action [GO:0050883]; negative regulation of apoptotic process [GO:0043066]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; neuroblast fate determination [GO:0007400]; neuroblast proliferation [GO:0007405]; neurogenesis [GO:0022008]; neuron development [GO:0048666]; neuron differentiation [GO:0030182]; neuron fate commitment [GO:0048663]; neuron fate specification [GO:0048665]; neuron migration [GO:0001764]; noradrenergic neuron development [GO:0003358]; noradrenergic neuron fate commitment [GO:0003359]; Notch signaling pathway [GO:0007219]; olfactory pit development [GO:0060166]; oligodendrocyte development [GO:0014003]; positive regulation of cell cycle [GO:0045787]; positive regulation of neural precursor cell proliferation [GO:2000179]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of epithelial cell differentiation [GO:0030856]; regulation of gene expression [GO:0010468]; regulation of mitotic cell cycle [GO:0007346]; regulation of neurogenesis [GO:0050767]; regulation of timing of subpallium neuron differentiation [GO:0060165]; regulation of transcription by RNA polymerase II [GO:0006357]; response to epidermal growth factor [GO:0070849]; response to folic acid [GO:0051593]; response to lithium ion [GO:0010226]; response to retinoic acid [GO:0032526]; sensory organ development [GO:0007423]; spinal cord association neuron differentiation [GO:0021527]; spinal cord oligodendrocyte cell fate specification [GO:0021530]; stomach neuroendocrine cell differentiation [GO:0061102]; subpallium neuron fate commitment [GO:0060163]; sympathetic ganglion development [GO:0061549]; sympathetic nervous system development [GO:0048485]; ventral spinal cord interneuron fate commitment [GO:0060579]; vestibular nucleus development [GO:0021750]	ASCL1 ASH1 BHLHA46 HASH1
NM_020768		A8K8W2	A8K8W2_HUMAN	cDNA FLJ77188, highly similar to Homo sapiens potassium channel tetramerisation domain containing 16 (KCTD16), mRNA	GO:0051260	protein homooligomerization [GO:0051260]	
NM_020768		Q68DU8	KCD16_HUMAN	BTB/POZ domain-containing protein KCTD16 (Potassium channel tetramerization domain-containing protein 16)	GO:0008277; GO:0030054; GO:0042734; GO:0042995; GO:0043235; GO:0045211; GO:0051260	cell junction [GO:0030054]; cell projection [GO:0042995]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734]; receptor complex [GO:0043235]; protein homooligomerization [GO:0051260]; regulation of G protein-coupled receptor signaling pathway [GO:0008277]	KCTD16 KIAA1317
NM_020775		B4DWM4	B4DWM4_HUMAN	cDNA FLJ56163, moderately similar to Mus musculus sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1, mRNA	GO:0016021	integral component of membrane [GO:0016021]	
NM_020775	NM_020775 -> Q6UXG2-1	Q6UXG2	K1324_HUMAN	UPF0577 protein KIAA1324 (Estrogen-induced gene 121 protein)	GO:0000045; GO:0003723; GO:0005765; GO:0005794; GO:0005886; GO:0005887; GO:0009267; GO:0031902; GO:0044090; GO:0070062; GO:2000786	extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886]; RNA binding [GO:0003723]; autophagosome assembly [GO:0000045]; cellular response to starvation [GO:0009267]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of vacuole organization [GO:0044090]	KIAA1324 EIG121 UNQ2426/PRO4985
NM_002297		A0A024R8D7	A0A024R8D7_HUMAN	Lipocalin 1 (Tear prealbumin), isoform CRA_a	GO:0036094	small molecule binding [GO:0036094]	LCN1 hCG_1818001
NM_002297		P31025	LCN1_HUMAN	Lipocalin-1 (Tear lipocalin) (Tlc) (Tear prealbumin) (TP) (von Ebner gland protein) (VEG protein)	GO:0001895; GO:0004869; GO:0005102; GO:0005576; GO:0005615; GO:0006508; GO:0008270; GO:0015909; GO:0031404; GO:0036094; GO:0050896; GO:0050909	extracellular region [GO:0005576]; extracellular space [GO:0005615]; chloride ion binding [GO:0031404]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; signaling receptor binding [GO:0005102]; small molecule binding [GO:0036094]; zinc ion binding [GO:0008270]; long-chain fatty acid transport [GO:0015909]; proteolysis [GO:0006508]; response to stimulus [GO:0050896]; retina homeostasis [GO:0001895]; sensory perception of taste [GO:0050909]	LCN1 VEGP
NM_001144757		A0A024R9I1	A0A024R9I1_HUMAN	Secretory granule, neuroendocrine protein 1 (7B2 protein), isoform CRA_a	GO:0004857; GO:0006886; GO:0007218; GO:0016486; GO:0030141; GO:0046883	secretory granule [GO:0030141]; enzyme inhibitor activity [GO:0004857]; intracellular protein transport [GO:0006886]; neuropeptide signaling pathway [GO:0007218]; peptide hormone processing [GO:0016486]; regulation of hormone secretion [GO:0046883]	SGNE1 hCG_1811965
NM_001144757	NM_001144757 -> P05408-1	P05408	7B2_HUMAN	Neuroendocrine protein 7B2 (Pituitary polypeptide) (Secretogranin V) (Secretogranin-5) (Secretory granule endocrine protein I) [Cleaved into: N-terminal peptide; C-terminal peptide]	GO:0004857; GO:0005525; GO:0005576; GO:0006886; GO:0007218; GO:0016486; GO:0030141; GO:0046883; GO:0051082	extracellular region [GO:0005576]; secretory granule [GO:0030141]; enzyme inhibitor activity [GO:0004857]; GTP binding [GO:0005525]; unfolded protein binding [GO:0051082]; intracellular protein transport [GO:0006886]; neuropeptide signaling pathway [GO:0007218]; peptide hormone processing [GO:0016486]; regulation of hormone secretion [GO:0046883]	SCG5 SGNE1
NM_144778	NM_144778 -> Q5VZF2-2	Q5VZF2	MBNL2_HUMAN	Muscleblind-like protein 2 (Muscleblind-like protein 1) (Muscleblind-like protein-like) (Muscleblind-like protein-like 39)	GO:0000381; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0006397; GO:0008380; GO:0043484; GO:0046872	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA splicing [GO:0008380]	MBNL2 MBLL MBLL39 MLP1
NM_012306	NM_012306 -> Q9BWQ8-1	Q9BWQ8	LFG2_HUMAN	Protein lifeguard 2 (Fas apoptotic inhibitory molecule 2) (Neural membrane protein 35) (Transmembrane BAX inhibitor motif-containing protein 2)	GO:0002931; GO:0005783; GO:0005794; GO:0006915; GO:0016021; GO:0021549; GO:0021680; GO:0021681; GO:0021702; GO:0030054; GO:0043066; GO:0043523; GO:0043524; GO:0045121; GO:0045211; GO:1902042	cell junction [GO:0030054]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; postsynaptic membrane [GO:0045211]; apoptotic process [GO:0006915]; cerebellar granular layer development [GO:0021681]; cerebellar Purkinje cell differentiation [GO:0021702]; cerebellar Purkinje cell layer development [GO:0021680]; cerebellum development [GO:0021549]; negative regulation of apoptotic process [GO:0043066]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of neuron apoptotic process [GO:0043524]; regulation of neuron apoptotic process [GO:0043523]; response to ischemia [GO:0002931]	FAIM2 KIAA0950 LFG LFG2 NMP35 TMBIM2
