Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)	Gene names
A0A1S3R238	A0A1S3R238_SALSA	zona pellucida sperm-binding protein 3-like isoform X2	GO:0007339; GO:0035803; GO:0035804	structural constituent of egg coat [GO:0035804]; binding of sperm to zona pellucida [GO:0007339]; egg coat formation [GO:0035803]	LOC106599192
A0A1S3R175	A0A1S3R175_SALSA	uncharacterized protein LOC106599076			LOC106599076
A0A1S3R0B7	A0A1S3R0B7_SALSA	LIM/homeobox protein Lhx8-like isoform X2	GO:0005634; GO:0006355; GO:0043565; GO:0046872	nucleus [GO:0005634]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]	LOC106599206
A0A1S3R0B8	A0A1S3R0B8_SALSA	LIM/homeobox protein Lhx8-like isoform X4	GO:0005634; GO:0006355; GO:0043565; GO:0046872	nucleus [GO:0005634]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]	LOC106599206
A0A1S3R0Y0	A0A1S3R0Y0_SALSA	LIM/homeobox protein Lhx8-like isoform X3	GO:0005634; GO:0006355; GO:0043565; GO:0046872	nucleus [GO:0005634]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]	LOC106599206
A0A1S3R248	A0A1S3R248_SALSA	LIM/homeobox protein Lhx8-like isoform X1	GO:0005634; GO:0006355; GO:0043565; GO:0046872	nucleus [GO:0005634]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]	LOC106599206
A0A1S3R253	A0A1S3R253_SALSA	LIM/homeobox protein Lhx8-like isoform X5	GO:0005634; GO:0006355; GO:0043565; GO:0046872	nucleus [GO:0005634]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]	LOC106599206
A0A1S3R0T1	A0A1S3R0T1_SALSA	Cholesterol 7-alpha-monooxygenase (EC 1.14.14.23)	GO:0005506; GO:0005623; GO:0005789; GO:0006699; GO:0006707; GO:0008123; GO:0016021; GO:0020037; GO:0042632; GO:0071333	cell [GO:0005623]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; cholesterol 7-alpha-monooxygenase activity [GO:0008123]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; bile acid biosynthetic process [GO:0006699]; cellular response to glucose stimulus [GO:0071333]; cholesterol catabolic process [GO:0006707]; cholesterol homeostasis [GO:0042632]	LOC106599162
A0A1S3R1U4	A0A1S3R1U4_SALSA	serotransferrin-1-like	GO:0005576	extracellular region [GO:0005576]	LOC106599563
A0A1S2WYW0	A0A1S2WYW0_SALSA	Serotransferrin	GO:0005615; GO:0006811; GO:0046872; GO:0055072	extracellular space [GO:0005615]; metal ion binding [GO:0046872]; ion transport [GO:0006811]; iron ion homeostasis [GO:0055072]	trf sTf Tf tf1 TRF1
A0A1S3R1S1	A0A1S3R1S1_SALSA	Serotransferrin	GO:0005615; GO:0006811; GO:0046872; GO:0055072	extracellular space [GO:0005615]; metal ion binding [GO:0046872]; ion transport [GO:0006811]; iron ion homeostasis [GO:0055072]	trf tf1
P80426	TRFE1_SALSA	Serotransferrin-1 (Serotransferrin I) (STF I) (sTF1) (Siderophilin I)	GO:0005615; GO:0006811; GO:0046872; GO:0055072	extracellular space [GO:0005615]; metal ion binding [GO:0046872]; ion transport [GO:0006811]; iron ion homeostasis [GO:0055072]	tf1
A0A1S3R1T5	A0A1S3R1T5_SALSA	zona pellucida sperm-binding protein 4-like			LOC106599556
A0A1S3R2F9	A0A1S3R2F9_SALSA	Chloride channel protein	GO:0005247; GO:0016021	integral component of membrane [GO:0016021]; voltage-gated chloride channel activity [GO:0005247]	LOC106599558
A0A1S3R1P4	A0A1S3R1P4_SALSA	paired box protein Pax-3-like isoform X1	GO:0005634; GO:0006355; GO:0007275; GO:0043565	nucleus [GO:0005634]; sequence-specific DNA binding [GO:0043565]; multicellular organism development [GO:0007275]; regulation of transcription, DNA-templated [GO:0006355]	LOC106599523
A0A1S3R1P7	A0A1S3R1P7_SALSA	paired box protein Pax-3-like isoform X2	GO:0005634; GO:0006355; GO:0007275; GO:0043565	nucleus [GO:0005634]; sequence-specific DNA binding [GO:0043565]; multicellular organism development [GO:0007275]; regulation of transcription, DNA-templated [GO:0006355]	LOC106599523
A0A1S3R2B4	A0A1S3R2B4_SALSA	paired box protein Pax-3-like isoform X3	GO:0005634; GO:0006355; GO:0007275; GO:0043565	nucleus [GO:0005634]; sequence-specific DNA binding [GO:0043565]; multicellular organism development [GO:0007275]; regulation of transcription, DNA-templated [GO:0006355]	LOC106599523
A0A1S3R336	A0A1S3R336_SALSA	SHC SH2 domain-binding protein 1-like protein			shcbp1l
A0A1S3R196	A0A1S3R196_SALSA	ATP-dependent RNA helicase A isoform X2	GO:0003676; GO:0004386; GO:0005524	ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]	dhx9
A0A1S3R2Q4	A0A1S3R2Q4_SALSA	ATP-dependent RNA helicase A isoform X1	GO:0003723; GO:0004386; GO:0005524	ATP binding [GO:0005524]; helicase activity [GO:0004386]; RNA binding [GO:0003723]	dhx9
A0A1S3R137	A0A1S3R137_SALSA	Serine/threonine-protein kinase PLK (EC 2.7.11.21) (Polo-like kinase)	GO:0004674; GO:0005524	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	LOC106599391
A0A1S3R2J8	A0A1S3R2J8_SALSA	uncharacterized protein LOC106599597			LOC106599597
A0A1S3R2C2	A0A1S3R2C2_SALSA	carbonic anhydrase-like	GO:0004089; GO:0008270	carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]	LOC106599341
A0A1S3R0J5	A0A1S3R0J5_SALSA	Elongation of very long chain fatty acids protein 1 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL1) (ELOVL fatty acid elongase 1) (ELOVL FA elongase 1) (Very long chain 3-ketoacyl-CoA synthase 1) (Very long chain 3-oxoacyl-CoA synthase 1)	GO:0005789; GO:0006636; GO:0009922; GO:0016021; GO:0019367; GO:0034625; GO:0035338; GO:0042761; GO:0102336; GO:0102337; GO:0102338; GO:0102756	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; 3-oxo-arachidoyl-CoA synthase activity [GO:0102336]; 3-oxo-cerotoyl-CoA synthase activity [GO:0102337]; 3-oxo-lignoceronyl-CoA synthase activity [GO:0102338]; fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]; fatty acid elongation, monounsaturated fatty acid [GO:0034625]; fatty acid elongation, saturated fatty acid [GO:0019367]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; unsaturated fatty acid biosynthetic process [GO:0006636]; very long-chain fatty acid biosynthetic process [GO:0042761]	LOC106599266 ELOVL1
B5XCB2	B5XCB2_SALSA	Glutamine synthetase (EC 6.3.1.2)	GO:0004356; GO:0005524; GO:0006542	ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; glutamine biosynthetic process [GO:0006542]	GLNA glna
A0A1S3R240	A0A1S3R240_SALSA	laminin subunit alpha-3-like isoform X3	GO:0005102; GO:0007155; GO:0030155; GO:0030334; GO:0045995	signaling receptor binding [GO:0005102]; cell adhesion [GO:0007155]; regulation of cell adhesion [GO:0030155]; regulation of cell migration [GO:0030334]; regulation of embryonic development [GO:0045995]	LOC106599664
A0A1S3R2Q6	A0A1S3R2Q6_SALSA	laminin subunit alpha-3-like isoform X1	GO:0005102; GO:0007155; GO:0030155; GO:0030334; GO:0045995	signaling receptor binding [GO:0005102]; cell adhesion [GO:0007155]; regulation of cell adhesion [GO:0030155]; regulation of cell migration [GO:0030334]; regulation of embryonic development [GO:0045995]	LOC106599664
A0A1S3R3J8	A0A1S3R3J8_SALSA	laminin subunit alpha-3-like isoform X2	GO:0005102; GO:0007155; GO:0030155; GO:0030334; GO:0045995	signaling receptor binding [GO:0005102]; cell adhesion [GO:0007155]; regulation of cell adhesion [GO:0030155]; regulation of cell migration [GO:0030334]; regulation of embryonic development [GO:0045995]	LOC106599664
A0A1S3R3K3	A0A1S3R3K3_SALSA	laminin subunit alpha-3-like isoform X4	GO:0005102; GO:0007155; GO:0030155; GO:0030334; GO:0045995	signaling receptor binding [GO:0005102]; cell adhesion [GO:0007155]; regulation of cell adhesion [GO:0030155]; regulation of cell migration [GO:0030334]; regulation of embryonic development [GO:0045995]	LOC106599664
A0A1S3R3R0	A0A1S3R3R0_SALSA	Tubulin beta chain	GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017	cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	LOC106599713
A0A1S3R2M8	A0A1S3R2M8_SALSA	cathelicidin isoform X1			LOC100136453
Q2NNC4	Q2NNC4_SALSA	Cathelicidin (cathelicidin precursor)	GO:0010628; GO:0019835; GO:0050829	cytolysis [GO:0019835]; defense response to Gram-negative bacterium [GO:0050829]; positive regulation of gene expression [GO:0010628]	LOC100136453
A0A1S3R2Y8	A0A1S3R2Y8_SALSA	uncharacterized protein LOC106599900 isoform X1			LOC106599900
A0A1S3R2Z3	A0A1S3R2Z3_SALSA	uncharacterized protein LOC106599900 isoform X3			LOC106599900
A0A1S3R4F3	A0A1S3R4F3_SALSA	uncharacterized protein LOC106599900 isoform X2			LOC106599900
A0A1S3R4R6	A0A1S3R4R6_SALSA	uncharacterized protein LOC106599900 isoform X4			LOC106599900
A0A1S3R4D6	A0A1S3R4D6_SALSA	afadin- and alpha-actinin-binding protein-like isoform X1			LOC106600421
A0A1S3R656	A0A1S3R656_SALSA	afadin- and alpha-actinin-binding protein-like isoform X2			LOC106600421
A0A1S3R506	A0A1S3R506_SALSA	complement component C8 beta chain	GO:0005579; GO:0006956	membrane attack complex [GO:0005579]; complement activation [GO:0006956]	c8b
A0A1S3R4J9	A0A1S3R4J9_SALSA	zona pellucida sperm-binding protein 3-like			LOC106600453
A0A1S3R4G3	A0A1S3R4G3_SALSA	uncharacterized protein LOC106600236 isoform X1	GO:0005509; GO:0005886; GO:0007156; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	LOC106600236
A0A1S3R5B4	A0A1S3R5B4_SALSA	uncharacterized protein LOC106600236 isoform X2	GO:0005509; GO:0005886; GO:0007156; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	LOC106600236
A0A1S3R3T4	A0A1S3R3T4_SALSA	GTP-binding protein REM 2-like	GO:0003924; GO:0005525; GO:0007165; GO:0016020	membrane [GO:0016020]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal transduction [GO:0007165]	LOC106600228
A0A1S3R3F1	A0A1S3R3F1_SALSA	neurabin-1-like isoform X1			LOC106600076
A0A1S3R3F9	A0A1S3R3F9_SALSA	neurabin-1-like isoform X4			LOC106600076
A0A1S3R3G0	A0A1S3R3G0_SALSA	neurabin-1-like isoform X5			LOC106600076
A0A1S3R4X4	A0A1S3R4X4_SALSA	neurabin-1-like isoform X2			LOC106600076
A0A1S3R586	A0A1S3R586_SALSA	neurabin-1-like isoform X3			LOC106600076
A0A1S3R3G4	A0A1S3R3G4_SALSA	integrin alpha-6-like isoform X2	GO:0007155; GO:0007229; GO:0008305	integrin complex [GO:0008305]; cell adhesion [GO:0007155]; integrin-mediated signaling pathway [GO:0007229]	LOC106600084
A0A1S3R591	A0A1S3R591_SALSA	integrin alpha-6-like isoform X1	GO:0007155; GO:0007229; GO:0008305	integrin complex [GO:0008305]; cell adhesion [GO:0007155]; integrin-mediated signaling pathway [GO:0007229]	LOC106600084
A0A1S3R3E6	A0A1S3R3E6_SALSA	calcium-binding mitochondrial carrier protein Aralar1-like isoform X2	GO:0005509; GO:0016021; GO:0022857	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; transmembrane transporter activity [GO:0022857]	LOC106600069
A0A1S3R3F0	A0A1S3R3F0_SALSA	calcium-binding mitochondrial carrier protein Aralar1-like isoform X4	GO:0005509; GO:0016021; GO:0022857	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; transmembrane transporter activity [GO:0022857]	LOC106600069
A0A1S3R422	A0A1S3R422_SALSA	calcium-binding mitochondrial carrier protein Aralar1-like isoform X5	GO:0005509; GO:0016021; GO:0022857	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; transmembrane transporter activity [GO:0022857]	LOC106600069
A0A1S3R571	A0A1S3R571_SALSA	calcium-binding mitochondrial carrier protein Aralar1-like isoform X1	GO:0005509; GO:0016021; GO:0022857	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; transmembrane transporter activity [GO:0022857]	LOC106600069
A0A1S3R576	A0A1S3R576_SALSA	calcium-binding mitochondrial carrier protein Aralar1-like isoform X3	GO:0005509; GO:0016021; GO:0022857	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; transmembrane transporter activity [GO:0022857]	LOC106600069
A0A1S3R514	A0A1S3R514_SALSA	signal-transducing adaptor protein 2-like	GO:0035591	signaling adaptor activity [GO:0035591]	LOC106600019
A0A1S3R4I6	A0A1S3R4I6_SALSA	dual specificity mitogen-activated protein kinase kinase 2-like	GO:0004674; GO:0005524	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	LOC106600441
A0A1S3R5M3	A0A1S3R5M3_SALSA	transient receptor potential cation channel subfamily M member 4-like	GO:0002724; GO:0005227; GO:0016021; GO:0042310; GO:0042391; GO:0061337	integral component of membrane [GO:0016021]; calcium activated cation channel activity [GO:0005227]; cardiac conduction [GO:0061337]; regulation of membrane potential [GO:0042391]; regulation of T cell cytokine production [GO:0002724]; vasoconstriction [GO:0042310]	LOC106600670
A0A1S3R734	A0A1S3R734_SALSA	C-type lectin domain family 10 member A-like	GO:0030246	carbohydrate binding [GO:0030246]	LOC106600660
A0A1S3R5N6	A0A1S3R5N6_SALSA	Nucleoside diphosphate kinase (EC 2.7.4.6)	GO:0004550; GO:0005524; GO:0006183; GO:0006228; GO:0006241	ATP binding [GO:0005524]; nucleoside diphosphate kinase activity [GO:0004550]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228]	LOC106600677
A0A1S3R7C9	A0A1S3R7C9_SALSA	transmembrane protease serine 9-like	GO:0004252; GO:0016021	integral component of membrane [GO:0016021]; serine-type endopeptidase activity [GO:0004252]	LOC106600702
A0A1S3R633	A0A1S3R633_SALSA	protein FAM57B	GO:0016021	integral component of membrane [GO:0016021]	fam57b
A0A1S2WZ17	A0A1S2WZ17_SALSA	prolactin precursor	GO:0005179; GO:0005576	extracellular region [GO:0005576]; hormone activity [GO:0005179]	LOC100136580 prl
A0A1S3R672	A0A1S3R672_SALSA	prolactin isoform X1	GO:0005179; GO:0005576	extracellular region [GO:0005576]; hormone activity [GO:0005179]	LOC100136580 prl
P48096	PRL_SALSA	Prolactin (PRL)	GO:0005148; GO:0005179; GO:0005576; GO:0005623; GO:0010536; GO:0010628; GO:0010629; GO:0016176; GO:0032930; GO:0042531; GO:0046427; GO:0050766; GO:0051023; GO:0051091; GO:0060267; GO:0070665; GO:1900182; GO:1903428; GO:1903592	cell [GO:0005623]; extracellular region [GO:0005576]; hormone activity [GO:0005179]; prolactin receptor binding [GO:0005148]; superoxide-generating NADPH oxidase activator activity [GO:0016176]; negative regulation of gene expression [GO:0010629]; positive regulation of activation of Janus kinase activity [GO:0010536]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of gene expression [GO:0010628]; positive regulation of leukocyte proliferation [GO:0070665]; positive regulation of lysozyme activity [GO:1903592]; positive regulation of phagocytosis [GO:0050766]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of reactive oxygen species biosynthetic process [GO:1903428]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of respiratory burst [GO:0060267]; positive regulation of superoxide anion generation [GO:0032930]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; regulation of immunoglobulin secretion [GO:0051023]	prl
A0A1S3R8W9	A0A1S3R8W9_SALSA	nuclear receptor subfamily 5 group A member 2-like	GO:0003700; GO:0003707; GO:0005634; GO:0008270; GO:0043565	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	LOC106600931
A0A1S3R6X8	A0A1S3R6X8_SALSA	uncharacterized protein LOC106600888 isoform X1	GO:0005576; GO:0006869; GO:0008289; GO:0016021; GO:0042157	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; lipid binding [GO:0008289]; lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157]	LOC106600888
A0A1S3R6Y3	A0A1S3R6Y3_SALSA	uncharacterized protein LOC106600888 isoform X3	GO:0005576; GO:0006869; GO:0008289; GO:0016021; GO:0042157	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; lipid binding [GO:0008289]; lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157]	LOC106600888
A0A1S3R7L4	A0A1S3R7L4_SALSA	uncharacterized protein LOC106600888 isoform X2	GO:0005576; GO:0006869; GO:0008289; GO:0016021; GO:0042157	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; lipid binding [GO:0008289]; lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157]	LOC106600888
A0A1S3R6N9	A0A1S3R6N9_SALSA	Oxysterol-binding protein	GO:0006869	lipid transport [GO:0006869]	LOC106600847
A0A1S3R6P4	A0A1S3R6P4_SALSA	Oxysterol-binding protein	GO:0006869	lipid transport [GO:0006869]	LOC106600847
A0A1S3R7C8	A0A1S3R7C8_SALSA	Oxysterol-binding protein	GO:0006869	lipid transport [GO:0006869]	LOC106600847
A0A1S3R879	A0A1S3R879_SALSA	Oxysterol-binding protein	GO:0006869	lipid transport [GO:0006869]	LOC106600847
A0A1S3R8E8	A0A1S3R8E8_SALSA	Oxysterol-binding protein	GO:0006869	lipid transport [GO:0006869]	LOC106600847
A0A1S3R700	A0A1S3R700_SALSA	cell wall protein IFF6-like	GO:0005198; GO:0005882	intermediate filament [GO:0005882]; structural molecule activity [GO:0005198]	LOC106600778
A0A1S3R829	A0A1S3R829_SALSA	keratin, type I cytoskeletal 13-like	GO:0005198; GO:0005882	intermediate filament [GO:0005882]; structural molecule activity [GO:0005198]	LOC106600816
A0A1S3R6I8	A0A1S3R6I8_SALSA	keratin, type I cytoskeletal 13-like	GO:0005198; GO:0005882	intermediate filament [GO:0005882]; structural molecule activity [GO:0005198]	LOC106600814
A0A1S3R7I1	A0A1S3R7I1_SALSA	p43 5S RNA-binding protein-like isoform X2	GO:0003676	nucleic acid binding [GO:0003676]	LOC106601008
A0A1S3R903	A0A1S3R903_SALSA	p43 5S RNA-binding protein-like isoform X1	GO:0003676	nucleic acid binding [GO:0003676]	LOC106601008
A0A1S3R7P3	A0A1S3R7P3_SALSA	cytolysin Src-1-like isoform X1	GO:0006812; GO:0015267; GO:0046930; GO:0046931; GO:0052331	pore complex [GO:0046930]; channel activity [GO:0015267]; cation transport [GO:0006812]; hemolysis in other organism involved in symbiotic interaction [GO:0052331]; pore complex assembly [GO:0046931]	LOC106601040
A0A1S3R8D0	A0A1S3R8D0_SALSA	cytolysin Src-1-like isoform X2	GO:0006812; GO:0015267; GO:0046930; GO:0046931; GO:0052331	pore complex [GO:0046930]; channel activity [GO:0015267]; cation transport [GO:0006812]; hemolysis in other organism involved in symbiotic interaction [GO:0052331]; pore complex assembly [GO:0046931]	LOC106601040
A0A1S3R964	A0A1S3R964_SALSA	cytolysin RTX-A-like	GO:0006812; GO:0015267; GO:0046930; GO:0046931; GO:0052331	pore complex [GO:0046930]; channel activity [GO:0015267]; cation transport [GO:0006812]; hemolysis in other organism involved in symbiotic interaction [GO:0052331]; pore complex assembly [GO:0046931]	LOC106601042
A0A1S3R9Y5	A0A1S3R9Y5_SALSA	Protein Wnt	GO:0005102; GO:0005576; GO:0007275; GO:0016055	extracellular region [GO:0005576]; signaling receptor binding [GO:0005102]; multicellular organism development [GO:0007275]; Wnt signaling pathway [GO:0016055]	LOC106601131
A0A1S3R846	A0A1S3R846_SALSA	MICAL-like protein 2 isoform X2	GO:0046872	metal ion binding [GO:0046872]	LOC106601118
A0A1S3R9J4	A0A1S3R9J4_SALSA	MICAL-like protein 2 isoform X1	GO:0046872	metal ion binding [GO:0046872]	LOC106601118
A0A1S3R9S0	A0A1S3R9S0_SALSA	insulin-like growth factor-binding protein complex acid labile subunit			LOC106601095
A0A1S3R992	A0A1S3R992_SALSA	hemoglobin subunit beta-like	GO:0005344; GO:0005833; GO:0019825; GO:0020037; GO:0046872	hemoglobin complex [GO:0005833]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]	LOC106601051
A0A1S3R8B6	A0A1S3R8B6_SALSA	protein CYR61-like	GO:0005520; GO:0005576	extracellular region [GO:0005576]; insulin-like growth factor binding [GO:0005520]	LOC106601163
A0A1S3R8K0	A0A1S3R8K0_SALSA	proline-rich extensin-like protein EPR1 isoform X1			LOC106601204
A0A1S3R987	A0A1S3R987_SALSA	proline-rich extensin-like protein EPR1 isoform X2			LOC106601204
A0A1S3R902	A0A1S3R902_SALSA	retinol dehydrogenase 8-like	GO:0004303; GO:0005737; GO:0006703	cytoplasm [GO:0005737]; estradiol 17-beta-dehydrogenase activity [GO:0004303]; estrogen biosynthetic process [GO:0006703]	LOC106601275
B5X5T2	B5X5T2_SALSA	Tetraspanin	GO:0016021	integral component of membrane [GO:0016021]	TSN1 LOC106601366
A0A1S3R9P3	A0A1S3R9P3_SALSA	uncharacterized protein LOC106601404 isoform X3	GO:0016021	integral component of membrane [GO:0016021]	LOC106601404
A0A1S3RAB5	A0A1S3RAB5_SALSA	uncharacterized protein LOC106601404 isoform X1			LOC106601404
A0A1S3RB38	A0A1S3RB38_SALSA	uncharacterized protein LOC106601404 isoform X2			LOC106601404
A0A1S3R9P0	A0A1S3R9P0_SALSA	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B-like isoform X2	GO:0006487; GO:0016021; GO:0030144	integral component of membrane [GO:0016021]; alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity [GO:0030144]; protein N-linked glycosylation [GO:0006487]	LOC106601405
A0A1S3RBF7	A0A1S3RBF7_SALSA	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B-like isoform X1	GO:0006487; GO:0016021; GO:0030144	integral component of membrane [GO:0016021]; alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity [GO:0030144]; protein N-linked glycosylation [GO:0006487]	LOC106601405
A0A1S3RBC1	A0A1S3RBC1_SALSA	transcription factor 20-like	GO:0046872	metal ion binding [GO:0046872]	LOC106601459
A0A1S3RAN1	A0A1S3RAN1_SALSA	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like	GO:0016020; GO:0016263; GO:0016266	membrane [GO:0016020]; glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity [GO:0016263]; O-glycan processing [GO:0016266]	LOC106601608
A0A1S3RAT4	A0A1S3RAT4_SALSA	ankyrin repeat and SOCS box protein 16 isoform X1	GO:0016567; GO:0035556	intracellular signal transduction [GO:0035556]; protein ubiquitination [GO:0016567]	asb16
A0A1S3RAU8	A0A1S3RAU8_SALSA	ankyrin repeat and SOCS box protein 16 isoform X3	GO:0016567; GO:0035556	intracellular signal transduction [GO:0035556]; protein ubiquitination [GO:0016567]	asb16
A0A1S3RC92	A0A1S3RC92_SALSA	ankyrin repeat and SOCS box protein 16 isoform X4			asb16
A0A1S3RCJ1	A0A1S3RCJ1_SALSA	ankyrin repeat and SOCS box protein 16 isoform X2	GO:0016567; GO:0035556	intracellular signal transduction [GO:0035556]; protein ubiquitination [GO:0016567]	asb16
A0A1S3RAV0	A0A1S3RAV0_SALSA	alpha-(1,3)-fucosyltransferase 9-like	GO:0006486; GO:0008417; GO:0016021; GO:0032580	Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]; fucosyltransferase activity [GO:0008417]; protein glycosylation [GO:0006486]	LOC106601669
A0A1S3RCL4	A0A1S3RCL4_SALSA	TBC1 domain family member 16-like			LOC106601774
A0A1S3RC80	A0A1S3RC80_SALSA	tripartite motif-containing protein 5-like			LOC106601839
B5XDS7	B5XDS7_SALSA	GDP-L-fucose synthetase (EC 1.1.1.271)	GO:0050577; GO:0050662	coenzyme binding [GO:0050662]; GDP-L-fucose synthase activity [GO:0050577]	FCL fcl
A0A1S3RCE7	A0A1S3RCE7_SALSA	zinc finger BED domain-containing protein 5-like			LOC106602094
A0A1S3REH6	A0A1S3REH6_SALSA	GTPase IMAP family member 7-like	GO:0005525	GTP binding [GO:0005525]	LOC106602215
A0A1S3RCX9	A0A1S3RCX9_SALSA	UPF0687 protein C20orf27 homolog			LOC106602222
A0A1S3RD32	A0A1S3RD32_SALSA	hydroperoxide isomerase ALOXE3-like	GO:0005506; GO:0016702; GO:0016853	iron ion binding [GO:0005506]; isomerase activity [GO:0016853]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]	LOC106602268
A0A1S3REK9	A0A1S3REK9_SALSA	phosphatidylcholine:ceramide cholinephosphotransferase 2-like	GO:0016021; GO:0016740	integral component of membrane [GO:0016021]; transferase activity [GO:0016740]	LOC106602292 sgms2
A0A1S3RDA5	A0A1S3RDA5_SALSA	tetratricopeptide repeat protein 39B-like isoform X2			LOC106602300
A0A1S3REU2	A0A1S3REU2_SALSA	tetratricopeptide repeat protein 39B-like isoform X1			LOC106602300
A0A1S3RDB0	A0A1S3RDB0_SALSA	tetratricopeptide repeat protein 39B-like isoform X1			LOC106602306
A0A1S3RDY0	A0A1S3RDY0_SALSA	tetratricopeptide repeat protein 39B-like isoform X2			LOC106602306
A0A1S3REP3	A0A1S3REP3_SALSA	tetratricopeptide repeat protein 39B-like isoform X3			LOC106602306
A0A1S3REV2	A0A1S3REV2_SALSA	tetratricopeptide repeat protein 39B-like isoform X4			LOC106602306
A0A1S3RDN9	A0A1S3RDN9_SALSA	SH3 domain-containing protein 19-like			LOC106602396
A0A1S3REU8	A0A1S3REU8_SALSA	tudor domain-containing protein 7B-like			LOC106602533
A0A1S3RF10	A0A1S3RF10_SALSA	fibrinogen gamma chain-like	GO:0005102; GO:0005577; GO:0030168; GO:0051258	fibrinogen complex [GO:0005577]; signaling receptor binding [GO:0005102]; platelet activation [GO:0030168]; protein polymerization [GO:0051258]	LOC106602564
A0A1S3RGF3	A0A1S3RGF3_SALSA	coiled-coil domain-containing protein 110-like			LOC106602637
A0A1S3RF40	A0A1S3RF40_SALSA	uncharacterized protein LOC106602685 isoform X4	GO:0016021	integral component of membrane [GO:0016021]	LOC106602685
A0A1S3RF41	A0A1S3RF41_SALSA	uncharacterized protein LOC106602685 isoform X2	GO:0016021	integral component of membrane [GO:0016021]	LOC106602685
A0A1S3RF46	A0A1S3RF46_SALSA	uncharacterized protein LOC106602685 isoform X7	GO:0016021	integral component of membrane [GO:0016021]	LOC106602685
